Neighborhoods.,zip,Median Household income( 2018 dollars),Median Household income of the state( 2018 dollars),Total population,total white population,Percentage of whites in population,Percentage of minorities in population,Percentage of minorities in the state,COUNTYNAME,Corona cases per 1000 people (County Level)
"11369: East Elmhurst, Queens, NYC, NY",11369,54121,65323,34118,9834,28.82349493,71.17650507,44.6,Queens County,27.4
"11370: Jackson Heights/Rikers Island, Queens, NYC, NY",11370,65098,65323,32514,13704,42.14799779,57.85200221,44.6,Queens County,27.4
"11372: Jackson Heights, Queens, NYC, NY",11372,56383,65323,61844,35443,57.31032922,42.68967078,44.6,Queens County,27.4
"11368: Corona, Queens, NYC, NY",11368,50797,65323,112425,42338,37.6588837,62.3411163,44.6,Queens County,27.4
"11239: East New York, Brooklyn, NYC, NY",11239,27104,65323,13244,4057,30.63273935,69.36726065,44.6,Kings County,21.91
"10461: Pelham Bay, Bronx, NYC, NY",10461,56612,65323,50348,24270,48.2044967,51.7955033,44.6,Bronx County,31.9
"10475: Edenwald, Bronx, NYC, NY",10475,50832,65323,43208,7682,17.77911498,82.22088502,44.6,Bronx County,31.9
"10474: Hunts Point, NY",10474,25493,65323,12127,1118,9.219097881,90.78090212,44.6,Bronx County,31.9
"14605: Rochester, NY",14605,21475,65323,12470,3932,31.53167602,68.46832398,44.6,Monroe County,4.14109275
"14203: Buffalo, NY",14203,38578,65323,1666,534,32.05282113,67.94717887,44.6,Erie County,6.85752055
"12307: Schenectady, NY",12307,21719,65323,6115,1562,25.54374489,74.45625511,44.6,Schenectady County,4.52599704
"12207: Albany, NY",12207,15815,65323,1688,571,33.82701422,66.17298578,44.6,Albany County,6.27793355
"10456: Claremont, Bronx, NY",10456,27106,65323,94218,10146,10.76864293,89.23135707,44.6,Bronx County,31.9
"10459: Charlotte Gardens, Bronx, NY",10459,27687,65323,48351,5615,11.61299663,88.38700337,44.6,Bronx County,31.9
"10457: Claremont, Bronx, NY",10457,27420,65323,74554,11452,15.36067817,84.63932183,44.6,Bronx County,31.9
"13834: Portlandville, NY",13834,72852,65323,253,244,96.44268775,3.557312253,44.6,Otsego County,1.21173893
"10452: Concourse, Bronx, NY",10452,28277,65323,76078,9592,12.60811273,87.39188727,44.6,Bronx County,31.9
"11211: East Williamsburg, Brooklyn, NY",11211,71225,65323,102624,76620,74.66089804,25.33910196,44.6,Kings County,21.91
"10455: Mott Haven, Bronx, NY",10455,26801,65323,42283,5221,12.34775205,87.65224795,44.6,Bronx County,31.9
"10460: Charlotte Gardents, Bronx, NY",10460,26866,65323,59505,9370,15.74657592,84.25342408,44.6,Bronx County,31.9
"10035: East Harlem, New York, NY",10035,30081,65323,35743,7246,20.27250091,79.72749909,44.6,New York County,16.56
"11368: Corona, Queens, NY",11368,50797,65323,112425,42338,37.6588837,62.3411163,44.6,Queens County,27.4
"60653: Oakland, Chicago, IL",60653,29569,63575,31972,1670,5.223320405,94.77667959,39,Cook County,15.4512523
"60636: West Englewood, Chicago, IL",60636,27310,63575,32203,1276,3.962363755,96.03763625,39,Cook County,15.4512523
"60621: Englewood, Chicago, IL",60621,20991,63575,29042,748,2.575580194,97.42441981,39,Cook County,15.4512523
"60637: Woodlawn, Chicago, IL",60637,28785,63575,47454,7680,16.18409407,83.81590593,39,Cook County,15.4512523
"60629: West Elsdon, Chicago, IL",60629,42019,63575,111850,47029,42.04649084,57.95350916,39,Cook County,15.4512523
"60623: North Lawndale, Chicago, IL",60623,31634,63575,85979,33003,38.38495447,61.61504553,39,Cook County,15.4512523
"60804: Cicero, Chicago, IL",60804,47487,63575,83147,31128,37.43730982,62.56269018,39,Cook County,15.4512523
"60639: Belmont Cragin, Chicago, IL",60639,44150,63575,90517,39163,43.26590585,56.73409415,39,Cook County,15.4512523
"60632: Brighton park, Chicago, IL",60632,42758,63575,91039,47114,51.75144718,48.24855282,39,Cook County,15.4512523
"60617: South Chicago, Chicago, IL",60617,40265,63575,82534,31398,38.0425037,61.9574963,39,Cook County,15.4512523
"60649: South Shore, Chicago, IL",60649,30222,63575,46024,1863,4.047888058,95.95211194,39,Cook County,15.4512523
"60619: Chatham, Chicago, IL",60619,33454,63575,61258,997,1.627542525,98.37245747,39,Cook County,15.4512523
"60644: Austin, Chicago, IL",60644,27262,63575,47712,2277,4.772384306,95.22761569,39,Cook County,15.4512523
"19133: Fairhill, Philadelphia, PA",19133,19130,59445,27419,8598,31.35781757,68.64218243,23.9,Philadelphia County,14.7766899
"19153: Eastwick, Philadelphia, PA",19153,42418,59445,13190,1944,14.73843821,85.26156179,23.9,Delaware County,11.7811569
"19140: Hunting Park, Philadelphia, PA",19140,21665,59445,51667,9628,18.63471849,81.36528151,23.9,Philadelphia County,14.7766899
"94607: Oakland City, CA",94607,50149,71228,26254,6924,26.3731241,73.6268759,63.2,Alameda County,2.22790047
"32340: Madison, FL",32340,34882,53267,11294,5894,52.18700195,47.81299805,46.5,Madison County,3.73497889
"32064: Live Oak, FL",32064,39827,53267,6888,3726,54.09407666,45.90592334,46.5,Suwannee County,3.91585466
"33607: Northwest Tampa, FL",33607,41794,53267,23813,14501,60.89530928,39.10469072,46.5,Hillsborough County,1.79783201
"33430: Belle Glade, FL",33430,24840,53267,22603,8837,39.0965801,60.9034199,46.5,Palm Beach County,4.62290419
"33407: West Palm Beach, FL",33407,41085,53267,30928,10311,33.33872219,66.66127781,46.5,Palm Beach County,4.62290419
"33142: Allapattah, Miami, FL",33142,24106,53267,58574,28468,48.6017687,51.3982313,46.5,Miami-Dade County,6.91507618
"33034: Goldcoaster, Homestead, FL",33034,36363,53267,23281,13536,58.1418324,41.8581676,46.5,Miami-Dade County,6.91507618
"33136: Overtown, Miami, FL",33136,24702,53267,14839,6754,45.51519644,54.48480356,46.5,Miami-Dade County,6.91507618
"33150: Little Haiti, Miami, FL",33150,28069,53267,29839,5114,17.13864406,82.86135594,46.5,Miami-Dade County,6.91507618
"33012: Hialeah, FL",33012,32241,53267,75666,71213,94.11492612,5.885073877,46.5,Miami-Dade County,6.91507618
"48214: East Village and Jefferson Corridor, Detroit, MI",48214,28961,54938,21086,3156,14.96727687,85.03272313,25.1,Wayne County,11.6896846
"48207: East Central, Detroit, MI",48207,29625,54938,21230,3358,15.81723976,84.18276024,25.1,Wayne County,11.6896846
"48206: Durfee, Detroit, MI",48206,22308,54938,15745,1041,6.611622737,93.38837726,25.1,Wayne County,11.6896846
"48208: Jeffries, Detroit, MI",48208,21070,54938,9196,1904,20.7046542,79.2953458,25.1,Wayne County,11.6896846
"48215: Riverbend and Jefferson Chalmers, Detroit, MI",48215,22721,54938,11979,907,7.571583605,92.4284164,25.1,Wayne County,11.6896846
"48213: Chandler Park, West End and Airport Sub, Detroit, MI",48213,23559,54938,22795,499,2.189076552,97.81092345,25.1,Wayne County,11.6896846
"48234: Detroit, MI",48234,27947,54938,34156,1412,4.133973533,95.86602647,25.1,Wayne County,11.6896846
"48208: Woodbridge and Core City, Detroit, MI",48208,21070,54938,9196,1904,20.7046542,79.2953458,25.1,Wayne County,11.6896846
"48223: Brightmoor, Detroit, MI",48223,35562,54938,24632,2144,8.704124716,91.29587528,25.1,Wayne County,11.6896846
"48219: Riverdale and McNichols Evergreen, Detroit, MI",48219,33029,54938,48184,2962,6.147268803,93.8527312,25.1,Oakland County,6.7458506
"48033: Southfield, MI",48033,49845,54938,16457,3557,21.6139029,78.3860971,25.1,Oakland County,6.7458506
"07102: University Heights, Newark, NJ",7102,25351,79363,13382,3558,26.58795397,73.41204603,45.1,Essex County,22.5718444
"07108: Newark, NJ",7108,26317,79363,22047,1083,4.912232957,95.08776704,45.1,Essex County,22.5718444
"07114: Newak, NJ",7114,26970,79363,12749,2917,22.8802259,77.1197741,45.1,Essex County,22.5718444
"07103: West Side, Newark, NJ",7103,29304,79363,32471,2860,8.807859321,91.19214068,45.1,Essex County,22.5718444
"08102:Camden, NJ",8102,21016,79363,7790,2163,27.76636714,72.23363286,45.1,Camden County,13.1325057
"08103:Camden, NJ",8103,28065,79363,14224,2452,17.23847019,82.76152981,45.1,Camden County,13.1325057
"08104:Camden, NJ",8104,23744,79363,22441,3563,15.87718907,84.12281093,45.1,Camden County,13.1325057
"08105:Camden, NJ",8105,31918,79363,28534,7963,27.90705825,72.09294175,45.1,Camden County,13.1325057
"08608: Trenton, NJ",8608,16442,79363,893,155,17.35722284,82.64277716,45.1,Mercer County,19.177681
"08609: Trenton, NJ",8609,34857,79363,12759,5286,41.42957912,58.57042088,45.1,Mercer County,19.177681
"08611: Trenton, NJ",8611,35720,79363,26608,15934,59.88424534,40.11575466,45.1,Mercer County,19.177681
"08401: Atlantic City, NJ",8401,27786,79363,38372,12003,31.28062129,68.71937871,45.1,Atlantic County,8.51272999
"08901: New Brunswick, NJ",8901,42185,79363,57659,36927,64.04377461,35.95622539,45.1,Middlesex County,19.4411986
"08902: New Brunswick, NJ",8902,94490,79363,41135,20306,49.36428832,50.63571168,45.1,Middlesex County,19.4411986
"08904: New Brunswick, NJ",8904,80846,79363,13992,9437,67.44568325,32.55431675,45.1,Middlesex County,19.4411986
"07505: Paterson, NJ",7505,19625,79363,2423,523,21.58481222,78.41518778,45.1,Passaic County,32.3604627
"07524: Paterson, NJ",7524,37333,79363,13239,5107,38.5754211,61.4245789,45.1,Passaic County,32.3604627
"07501: Paterson, NJ",7501,28159,79363,32028,7185,22.43349569,77.56650431,45.1,Passaic County,32.3604627
"07522: Paterson, NJ",7522,33543,79363,20104,6894,34.29168325,65.70831675,45.1,Passaic County,32.3604627
"07513: Paterson, NJ",7513,43305,79363,12447,2640,21.2099301,78.7900699,45.1,Passaic County,32.3604627
"08733: Manchester Township, NJ",8733,61182,79363,2713,2198,81.017324,18.982676,45.1,Ocean County,15.035333
"08759: Manchester Township, NJ",8759,37286,79363,32803,30237,92.17754474,7.822455263,45.1,Ocean County,15.035333
"06702: Waterbury, New Haven, CT",6702,12157,76106,3025,1813,59.9338843,40.0661157,33.5,New Haven County,13.477801
"06112: Hartford, Hartford, CT",6112,38750,76106,21100,2509,11.89099526,88.10900474,33.5,Hartford County,11.887385
"06120: Hartford, Hartford, CT",6120,26456,76106,14534,3504,24.10898583,75.89101417,33.5,Hartford County,11.887385
"06114: Hartford, Hartford, CT",6114,38153,76106,28691,9142,31.86365062,68.13634938,33.5,Hartford County,11.887385
"06226: Bridgeport, Fairfield, CT",6226,35971,76106,19870,12689,63.86009059,36.13990941,33.5,Tolland County,5.67862549
"06608: Bridgeport, Fairfield, CT",6608,33762,76106,13856,3899,28.13943418,71.86056582,33.5,Fairfield County,16.7766544
"06607: Bridgeport, Fairfield, CT",6607,41594,76106,8801,1312,14.90739689,85.09260311,33.5,Fairfield County,16.7766544
"06610: Bridgeport, Fairfield, CT",6610,46210,76106,23275,8933,38.38023631,61.61976369,33.5,Fairfield County,16.7766544
"06519:New Haven, New Haven, CT",6519,28955,76106,15997,5674,35.46915047,64.53084953,33.5,New Haven County,13.477801
"06051: New Britain, Hartford, CT",6051,34341,76106,30220,19454,64.37458637,35.62541363,33.5,Hartford County,11.887385
"06710: Waterbury, New Haven, CT",6710,32227,76106,11275,6507,57.71175166,42.28824834,33.5,New Haven County,13.477801
"06704: Waterbury, New Haven, CT",6704,40135,76106,25576,13688,53.51892399,46.48107601,33.5,New Haven County,13.477801
"06380: Taftville, New london, CT",6380,40612,76106,2888,2110,73.06094183,26.93905817,33.5,New London County,4.10590559
"06226: Willimantic, Windham, CT",6226,35971,76106,19870,12689,63.86009059,36.13990941,33.5,Tolland County,5.67862549
"21750: Hancock, MD",21750,46796,81868,3732,3627,97.18649518,2.813504823,49.5,Allegany County,2.52858552
"20710: Blandensburg, MD",20710,43741,81868,9794,1426,14.55993465,85.44006535,49.5,Prince George's County,18.1824803
"20903: Silver Spring, MD",20903,66343,81868,26206,4171,15.9162024,84.0837976,49.5,Montgomery County,11.7927227
"20712: Mount Rainier, MD",20712,54769,81868,9496,2371,24.96840775,75.03159225,49.5,Prince George's County,18.1824803
"21224: Highlandtown and Canton, Baltimore, MD",21224,69615,81868,50433,34686,68.77639641,31.22360359,49.5,Baltimore County,7.84413231
"21207: Gwynn Oak, MD",21207,56719,81868,47687,4924,10.32566528,89.67433472,49.5,Baltimore County,7.84413231
"21239: Idlewood and Woodbourne Heights, Baltimore, MD",21239,53689,81868,31133,4530,14.55047699,85.44952301,49.5,Baltimore County,7.84413231
"21218: Guilford and Ednor Gardens-Lakeside, Baltimore, MD",21218,45613,81868,49271,14509,29.44734225,70.55265775,49.5,Baltimore city,9.62095331
"21201: Heritage Crossing and Midtown, Baltimore, MD",21201,34559,81868,17136,6051,35.31162465,64.68837535,49.5,Baltimore city,9.62095331
"21206: Frankford and Cedonia, Baltimore, MD",21206,52262,81868,51561,11758,22.80405733,77.19594267,49.5,Baltimore County,7.84413231
"77520: Baytown, TX",77520,47817,59570,35970,25072,69.70252989,30.29747011,58.5,Harris County,2.95555286
"77081: Gulftown, Houston, TX",77081,31196,59570,52078,38694,74.30008833,25.69991167,58.5,Harris County,2.95555286
"77028: Midtown Houston, TX",77028,30108,59570,16721,4112,24.59183063,75.40816937,58.5,Harris County,2.95555286
"77051: Sunnyside, Houston, TX",77051,27496,59570,17052,2466,14.46164673,85.53835327,58.5,Harris County,2.95555286
"78222: San Antonio, TX",78222,51544,59570,25574,17771,69.48854305,30.51145695,58.5,Bexar County,1.573319
"78210: San Antonio, TX",78210,36316,59570,36723,26257,71.50014977,28.49985023,58.5,Bexar County,1.573319
"78052: Lytle, TX",78052,59519,59570,7362,7098,96.41401793,3.58598207,58.5,Atascosa County,0.77824199
"78221: San Antonio, TX",78221,40029,59570,39523,34705,87.80962984,12.19037016,58.5,Bexar County,1.573319
"75215: Dallas, TX",75215,28089,59570,16681,4257,25.52005275,74.47994725,58.5,Dallas County,4.34671331
"75233: Dallas, TX",75233,47399,59570,16092,9269,57.60004971,42.39995029,58.5,Dallas County,4.34671331
"75212: Dallas, TX",75212,32696,59570,26320,16598,63.06231003,36.93768997,58.5,Dallas County,4.34671331
"75216: Dallas, TX",75216,26326,59570,54150,20568,37.9833795,62.0166205,58.5,Dallas County,4.34671331
"75210: Dallas, TX",75210,26727,59570,8578,3213,37.45628352,62.54371648,58.5,Dallas County,4.34671331
"01830: Haverhill, MA",1830,62194,77378,26695,21434,80.29218955,19.70781045,28.6,Essex County,19.1658643
"01835: Haverhill, MA",1835,75115,77378,13166,11521,87.50569649,12.49430351,28.6,Essex County,19.1658643
"01832: Haverhill, MA",1832,66106,77378,23419,19264,82.25799564,17.74200436,28.6,Essex County,19.1658643
"01833: Haverhill, MA",1833,128885,77378,8649,8255,95.44456006,4.555439935,28.6,Essex County,19.1658643
"01610: Worcester, MA",1610,34005,77378,23040,13801,59.90017361,40.09982639,28.6,Worcester County,14.0207715
"02302: Brockton, MA",2302,67608,77378,32497,15539,47.81672154,52.18327846,28.6,Norfolk County,12.352327
"02301: Brockton, MA",2301,49693,77378,62929,22488,35.73551145,64.26448855,28.6,Plymouth County,16.1715173
"01840: Lawrence, MA",1840,22092,77378,5560,2462,44.28057554,55.71942446,28.6,Essex County,19.1658643
"01841: Lawrence, MA",1841,40230,77378,48827,25489,52.20267475,47.79732525,28.6,Essex County,19.1658643
"01843: Lawrence, MA",1843,49443,77378,25454,13415,52.70291506,47.29708494,28.6,Essex County,19.1658643
"01105: Springfield, MA",1105,19921,77378,11957,6972,58.30894037,41.69105963,28.6,Hampden County,13.3613008
"01107: Springfield, MA",1107,27131,77378,11582,7052,60.88758418,39.11241582,28.6,Hampden County,13.3613008
"01901: Lynn, MA",1901,22788,77378,1759,708,40.25014213,59.74985787,28.6,Essex County,19.1658643
"02151: Revere, MA",2151,54987,77378,53976,42649,79.0147473,20.9852527,28.6,Middlesex County,14.0954819
"02149: Everett, MA",2149,60264,77378,45596,27124,59.48767436,40.51232564,28.6,Middlesex County,14.0954819
"02150: Chelsea, MA",2150,53335,77378,39842,20227,50.76803373,49.23196627,28.6,Middlesex County,14.0954819
"01850: Lowell, MA",1850,48331,77378,16267,11019,67.73836602,32.26163398,28.6,Middlesex County,14.0954819
"01464: Shirley, MA",1464,70542,77378,7598,5723,75.32245328,24.67754672,28.6,Middlesex County,14.0954819
"02119: Roxbury, Boston, MA",2119,30551,77378,28199,4587,16.26653427,83.73346573,28.6,Suffolk County,23.7317591
